,lat,lon,date,spd10,spd100,dir10,dir100
0,42.2,6.3,2024-09-09 00:00:00+00:00,45.630619049072266,53.027645111083984,304.06622314453125,304.7690124511719
1,42.2,6.5,2024-09-09 00:00:00+00:00,45.37856674194336,50.565582275390625,301.0416564941406,301.3134765625
2,42.2,6.7,2024-09-09 00:00:00+00:00,41.38747024536133,46.69603729248047,295.22760009765625,295.5772399902344
3,42.2,6.9,2024-09-09 00:00:00+00:00,40.18154525756836,45.47414016723633,292.6593933105469,293.3177185058594
4,42.2,7.1,2024-09-09 00:00:00+00:00,36.771141052246094,42.918582916259766,288.2576599121094,288.5870056152344
5,42.2,7.3,2024-09-09 00:00:00+00:00,36.102455139160156,42.242897033691406,286.80877685546875,287.3540954589844
6,42.2,7.5,2024-09-09 00:00:00+00:00,36.69175338745117,41.24161148071289,285.9454650878906,286.22027587890625
7,42.2,7.7,2024-09-09 00:00:00+00:00,33.37919998168945,37.38457107543945,286.2850036621094,285.6423034667969
8,42.2,7.9,2024-09-09 00:00:00+00:00,28.38526153564453,33.18450164794922,285.4463806152344,285.09161376953125
9,43.2,6.3,2024-09-09 00:00:00+00:00,14.386493682861328,28.37384605407715,301.7013854980469,305.706787109375
10,43.2,6.5,2024-09-09 00:00:00+00:00,16.73516082763672,32.03999710083008,288.8247985839844,295.9891662597656
11,43.2,6.7,2024-09-09 00:00:00+00:00,20.3168888092041,34.0709114074707,277.1249084472656,285.9454650878906
12,43.2,6.9,2024-09-09 00:00:00+00:00,35.78696823120117,40.09113693237305,264.8056640625,265.3646240234375
13,43.2,7.1,2024-09-09 00:00:00+00:00,40.18638229370117,48.17547607421875,260.2002258300781,260.5377502441406
14,43.2,7.3,2024-09-09 00:00:00+00:00,42.291954040527344,50.554046630859375,258.2118225097656,259.33026123046875
15,43.2,7.5,2024-09-09 00:00:00+00:00,42.13691711425781,49.524539947509766,250.0167999267578,250.90640258789062
16,43.2,7.7,2024-09-09 00:00:00+00:00,42.03992462158203,49.493125915527344,245.19061279296875,246.4183349609375
17,43.2,7.9,2024-09-09 00:00:00+00:00,41.060516357421875,48.717193603515625,238.26089477539062,239.8350830078125
18,44.2,6.3,2024-09-09 00:00:00+00:00,4.6938252449035645,10.495713233947754,4.398633003234863,354.09393310546875
19,44.2,6.5,2024-09-09 00:00:00+00:00,6.989935398101807,14.658676147460938,348.1113586425781,335.3231506347656
20,44.2,6.7,2024-09-09 00:00:00+00:00,6.489992141723633,15.79083251953125,326.3099060058594,316.84759521484375
21,44.2,6.9,2024-09-09 00:00:00+00:00,6.489992141723633,15.79083251953125,326.3099060058594,316.84759521484375
22,44.2,7.1,2024-09-09 00:00:00+00:00,3.5999999046325684,7.754636764526367,360.0,291.8014831542969
23,44.2,7.3,2024-09-09 00:00:00+00:00,4.198285102844238,6.519876956939697,210.96368408203125,263.659912109375
24,44.2,7.5,2024-09-09 00:00:00+00:00,5.937272071838379,7.594207286834717,14.036274909973145,5.440250396728516
25,44.2,7.7,2024-09-09 00:00:00+00:00,4.843304634094238,7.235910415649414,228.0128631591797,354.28948974609375
26,44.2,7.9,2024-09-09 00:00:00+00:00,6.989935398101807,7.920000076293945,348.1113586425781,360.0
27,45.2,6.3,2024-09-09 00:00:00+00:00,1.1384198665618896,1.4399999380111694,251.56495666503906,270.0
28,45.2,6.5,2024-09-09 00:00:00+00:00,1.1384198665618896,1.4399999380111694,251.56495666503906,270.0
29,45.2,6.7,2024-09-09 00:00:00+00:00,5.495161056518555,12.727921485900879,301.6074523925781,298.73968505859375
30,45.2,6.9,2024-09-09 00:00:00+00:00,8.21715259552002,13.708390235900879,298.8106994628906,299.9314270019531
31,45.2,7.1,2024-09-09 00:00:00+00:00,6.119999885559082,13.281023025512695,298.0723876953125,302.82855224609375
32,45.2,7.3,2024-09-09 00:00:00+00:00,6.7637858390808105,8.5873384475708,295.2010803222656,303.02386474609375
33,45.2,7.5,2024-09-09 00:00:00+00:00,3.7585103511810303,5.351784706115723,16.699325561523438,42.27362823486328
34,45.2,7.7,2024-09-09 00:00:00+00:00,3.3190360069274902,4.510787010192871,310.6012268066406,331.3896179199219
35,45.2,7.9,2024-09-09 00:00:00+00:00,4.510787010192871,6.696386814117432,298.6103515625,306.2539367675781
36,46.2,6.3,2024-09-09 00:00:00+00:00,6.489992141723633,13.5706148147583,183.1797637939453,201.8014678955078
37,46.2,6.5,2024-09-09 00:00:00+00:00,3.239999771118164,7.9281768798828125,180.0,230.52757263183594
38,46.2,6.7,2024-09-09 00:00:00+00:00,4.896529674530029,10.446206092834473,306.0274658203125,271.9748840332031
39,46.2,6.9,2024-09-09 00:00:00+00:00,6.119999885559082,11.792404174804688,331.9276123046875,328.736328125
40,46.2,7.1,2024-09-09 00:00:00+00:00,6.119999885559082,11.792404174804688,331.9276123046875,328.736328125
41,46.2,7.3,2024-09-09 00:00:00+00:00,4.680000305175781,9.107358932495117,292.6199035644531,288.4350280761719
42,46.2,7.5,2024-09-09 00:00:00+00:00,3.5999999046325684,6.489992141723633,233.13002014160156,236.30990600585938
43,46.2,7.7,2024-09-09 00:00:00+00:00,5.351784706115723,8.21715259552002,227.72637939453125,241.18930053710938
44,46.2,7.9,2024-09-09 00:00:00+00:00,5.351784706115723,8.21715259552002,227.72637939453125,241.18930053710938
45,47.2,6.3,2024-09-09 00:00:00+00:00,13.584932327270508,24.954519271850586,237.99465942382812,243.4350128173828
46,47.2,6.5,2024-09-09 00:00:00+00:00,13.479582786560059,24.79822540283203,235.88548278808594,242.31903076171875
47,47.2,6.7,2024-09-09 00:00:00+00:00,14.458381652832031,26.55472755432129,251.1138153076172,254.26792907714844
48,47.2,6.9,2024-09-09 00:00:00+00:00,14.458381652832031,26.55472755432129,251.1138153076172,254.26792907714844
49,47.2,7.1,2024-09-09 00:00:00+00:00,14.058449745178223,26.042211532592773,272.93560791015625,275.5528869628906
50,47.2,7.3,2024-09-09 00:00:00+00:00,7.342587947845459,16.919998168945312,258.6900939941406,270.0
51,47.2,7.5,2024-09-09 00:00:00+00:00,7.9932966232299805,13.896186828613281,234.16226196289062,233.4268798828125
52,47.2,7.7,2024-09-09 00:00:00+00:00,9.0,16.363178253173828,216.86997985839844,219.64413452148438
53,47.2,7.9,2024-09-09 00:00:00+00:00,10.5142183303833,19.881649017333984,218.04708862304688,222.0642547607422
54,48.2,6.3,2024-09-09 00:00:00+00:00,13.755578994750977,26.874910354614258,222.87889099121094,230.98060607910156
55,48.2,6.5,2024-09-09 00:00:00+00:00,13.746155738830566,26.932714462280273,224.99989318847656,232.0577850341797
56,48.2,6.7,2024-09-09 00:00:00+00:00,13.281023025512695,25.460933685302734,212.8285369873047,226.1456756591797
57,48.2,6.9,2024-09-09 00:00:00+00:00,12.98497486114502,26.072052001953125,226.1232147216797,234.55419921875
58,48.2,7.1,2024-09-09 00:00:00+00:00,12.864648818969727,26.901416778564453,252.07199096679688,254.475830078125
59,48.2,7.3,2024-09-09 00:00:00+00:00,5.815978050231934,13.627795219421387,248.1985321044922,257.799560546875
60,48.2,7.5,2024-09-09 00:00:00+00:00,4.735060214996338,10.99032211303711,188.74607849121094,211.60745239257812
61,48.2,7.7,2024-09-09 00:00:00+00:00,6.989935398101807,14.003028869628906,168.11135864257812,197.96923828125
62,48.2,7.9,2024-09-09 00:00:00+00:00,9.007196426391602,19.011953353881836,182.29055786132812,198.7781219482422
63,49.2,6.3,2024-09-09 00:00:00+00:00,14.618837356567383,28.001426696777344,217.998779296875,224.99989318847656
64,49.2,6.5,2024-09-09 00:00:00+00:00,15.02110481262207,28.90106964111328,224.02906799316406,230.55996704101562
65,49.2,6.7,2024-09-09 00:00:00+00:00,11.18320083618164,23.424907684326172,213.17852783203125,226.2452850341797
66,49.2,6.9,2024-09-09 00:00:00+00:00,9.565437316894531,21.0284366607666,199.79896545410156,218.04708862304688
67,49.2,7.1,2024-09-09 00:00:00+00:00,9.983105659484863,21.0284366607666,205.64096069335938,218.04708862304688
68,49.2,7.3,2024-09-09 00:00:00+00:00,10.233122825622559,21.382905960083008,219.2893829345703,224.99989318847656
69,49.2,7.5,2024-09-09 00:00:00+00:00,10.630672454833984,23.224882125854492,241.6993408203125,251.0032501220703
70,49.2,7.7,2024-09-09 00:00:00+00:00,9.693296432495117,21.829776763916016,248.1985321044922,256.6512756347656
71,49.2,7.9,2024-09-09 00:00:00+00:00,8.55710220336914,19.41665267944336,255.37908935546875,259.31512451171875
72,50.2,6.3,2024-09-09 00:00:00+00:00,17.33989715576172,31.845251083374023,221.63345336914062,222.70936584472656
73,50.2,6.5,2024-09-09 00:00:00+00:00,17.309974670410156,31.845251083374023,224.99989318847656,227.29063415527344
74,50.2,6.7,2024-09-09 00:00:00+00:00,14.512063980102539,27.841293334960938,209.7447967529297,220.27978515625
75,50.2,6.9,2024-09-09 00:00:00+00:00,9.44957160949707,19.966211318969727,197.74476623535156,205.64096069335938
76,50.2,7.1,2024-09-09 00:00:00+00:00,7.787990570068359,18.03236961364746,213.69009399414062,206.05343627929688
77,50.2,7.3,2024-09-09 00:00:00+00:00,7.412853240966797,18.204042434692383,209.05450439453125,204.53770446777344
78,50.2,7.5,2024-09-09 00:00:00+00:00,6.830519199371338,16.78156089782715,198.43504333496094,215.39488220214844
79,50.2,7.7,2024-09-09 00:00:00+00:00,5.9044389724731445,16.831684112548828,217.56866455078125,228.46832275390625
80,50.2,7.9,2024-09-09 00:00:00+00:00,8.404285430908203,18.875125885009766,223.2643280029297,235.09742736816406
